filename,steering_angle,vision_angle,speed
img_00062.png,0.0,-0.18173531980032123,60.0
img_00063.png,0.0,-0.10965683730130993,60.0
img_00064.png,0.0,-0.1101488030778843,60.0
img_00065.png,0.0,-0.21277904501287354,60.0
img_00066.png,0.0,-0.17785763305043645,60.0
img_00067.png,0.0,-0.10720700465084784,60.0
img_00068.png,0.0,-0.1073787275622835,60.0
img_00069.png,0.0,-0.11045043143191524,60.0
img_00070.png,0.0,-0.17831795682560045,60.0
img_00071.png,0.0,-0.11064246209782054,60.0
img_00072.png,0.0,-0.2182747787110814,60.0
img_00073.png,0.0,-0.17718156847178768,60.0
img_00074.png,0.0,-0.10815540437828045,60.0
img_00075.png,0.0,-0.10978648463366533,60.0
img_00076.png,0.0,-0.08399989301374151,60.0
img_00077.png,0.0,-0.10995333220700945,60.0
img_00078.png,0.0,-0.087876227256776,60.0
img_00079.png,0.0,-0.1509525745150491,60.0
img_00080.png,0.0,-0.14544976383749822,60.0
img_00081.png,0.0,-0.08303360514286952,60.0
img_00082.png,0.0,-0.08113107508348351,60.0
img_00083.png,0.0,-0.08472464500051476,60.0
img_00084.png,0.0,-0.08703823292076879,60.0
img_00085.png,0.0,-0.14968804880447692,60.0
img_00086.png,0.0,-0.08426977040881538,60.0
img_00087.png,0.0,-0.21758092221196845,60.0
img_00088.png,0.0,-0.08345956678020917,60.0
img_00000.png,0.0,-0.170798822826312,0.0
img_00001.png,0.0,-0.003724239812913107,0.0
img_00002.png,0.0,-0.0038447072212329423,0.0
img_00003.png,0.0,-0.006654442926942561,0.0
img_00004.png,0.0,0.0,0.0
img_00005.png,0.0,-0.004724823821833479,0.0
img_00006.png,0.0,-0.13754427410643996,0.0
img_00007.png,0.0,-0.21805927299704023,0.0
img_00008.png,0.0,-0.13481862769344208,0.0
img_00009.png,0.0,-0.1342514034611939,0.0
img_00010.png,0.0,-0.10618612526210483,0.0
img_00011.png,0.0,-0.13701460725256337,0.0
img_00012.png,0.0,-0.1065496527283292,0.0
img_00013.png,0.0,-0.1384510631247653,0.0
img_00014.png,0.0,-0.10809876320165826,0.0
