filename,steering_angle
img_05755.png,0.0
img_05756.png,0.0
img_05757.png,0.0
img_05758.png,0.0
img_05759.png,0.0
img_05760.png,0.0
img_05761.png,0.0
img_05762.png,0.0
img_05763.png,0.0
img_05764.png,0.0
img_05765.png,0.0
img_05766.png,0.0
img_05767.png,0.0
img_05768.png,0.0
img_05769.png,0.0
img_05770.png,0.0
img_05771.png,0.0
img_05772.png,0.0
img_05773.png,0.0
img_05774.png,0.0
img_05775.png,0.0
img_05776.png,0.0
img_05777.png,0.0
img_05778.png,0.0
img_05779.png,0.0
img_05780.png,0.0
img_05781.png,0.0
img_05782.png,0.0
img_05783.png,0.0
img_05784.png,0.0
img_05785.png,0.0
img_05786.png,0.0
img_05787.png,0.0
img_05788.png,0.0
img_05789.png,0.0
img_05790.png,0.0
img_05791.png,0.0
img_05792.png,0.0
img_05793.png,0.0
img_05794.png,0.0
img_05795.png,0.0
img_05796.png,0.0
img_05797.png,0.0
img_05798.png,-0.2
img_05799.png,0.0
img_05800.png,0.0
img_05801.png,0.0
img_05802.png,0.0
img_05803.png,0.0
img_05804.png,0.0
img_05805.png,0.0
img_05806.png,0.0
img_05807.png,0.0
img_05808.png,0.0
img_05809.png,0.0
img_05810.png,0.0
img_05811.png,0.0
img_05812.png,-0.2
img_05813.png,0.0
img_05814.png,0.0
img_05815.png,0.0
img_05816.png,0.0
img_05817.png,0.0
img_05818.png,0.0
img_05819.png,0.0
img_05820.png,0.0
img_05821.png,0.0
img_05822.png,0.0
img_05823.png,0.0
img_05824.png,0.0
img_05825.png,0.0
img_05826.png,0.0
img_05827.png,0.0
img_05828.png,0.0
img_05829.png,0.0
img_05830.png,0.2
img_05831.png,0.0
img_05832.png,0.2
img_05833.png,0.0
img_05834.png,0.2
img_05835.png,0.2
img_05836.png,0.2
img_05837.png,0.0
img_05838.png,0.2
img_05839.png,0.2
img_05840.png,0.0
img_05841.png,0.2
img_05842.png,0.2
img_05843.png,0.0
img_05844.png,0.0
img_05845.png,0.2
img_05846.png,0.0
img_05847.png,0.2
img_05848.png,0.0
img_05849.png,0.0
img_05850.png,0.2
img_05851.png,0.2
img_05852.png,0.2
img_05853.png,0.0
img_05854.png,0.2
img_05855.png,0.2
img_05856.png,0.2
img_05857.png,0.0
img_05858.png,0.2
img_05859.png,0.2
img_05860.png,0.2
img_05861.png,0.0
img_05862.png,0.0
img_05863.png,0.0
img_05864.png,0.0
img_05865.png,0.0
img_05866.png,0.0
img_05867.png,0.0
img_05868.png,0.0
img_05869.png,0.2
img_05870.png,0.2
img_05871.png,0.2
img_05872.png,0.0
img_05873.png,0.0
img_05874.png,0.0
img_05875.png,0.0
img_05876.png,0.0
